id,昵称,视频名称,观看时间,是否PC登陆,
227,不系之舟, 快速打乱数据顺序（随机排序的方法）,2015-12-07 14:37:50,否,
283,月,Excel中的格式刷,2015-12-08 07:07:32,否,
284,月, 快速打乱数据顺序（随机排序的方法）,2015-12-08 07:10:11,否,
285,月,打印时，一页放不下，如何进行调整设置,2015-12-08 07:14:12,否,
287,月,打印时，一页放不下，如何进行调整设置,2015-12-08 07:29:46,是,
289,月,Excel斜线表头如何做,2015-12-08 07:32:47,是,
291,KK,打印时，一页放不下，如何进行调整设置,2015-12-08 07:33:43,是,
298,月,级联式下拉列表制作的方法（表格模板）,2015-12-08 07:36:32,是,
308,KK,打印时，一页放不下，如何进行调整设置,2015-12-08 07:41:04,是,
309,KK,打印时，一页放不下，如何进行调整设置,2015-12-08 07:41:30,是,
320,月, 快速打乱数据顺序（随机排序的方法）,2015-12-08 07:53:48,是,
321,月,Excel通过身份证号计算出生日期,2015-12-08 07:55:32,是,
323,月,表格安全性（就不让你改）,2015-12-08 07:58:15,是,
324,月,合同到期日的计算,2015-12-08 08:00:40,是,
325,月,如何为Excel文件设置密码,2015-12-08 08:03:08,是,
326,月,从身份证号中计算性别的公式,2015-12-08 08:06:46,是,
328,月,排序时出现”是否要扩展区域“的提醒,2015-12-08 08:09:05,是,
330,月,单元格中制作下拉选项（表格模板）,2015-12-08 08:12:22,是,
339,月,计算年龄、工龄的正确方式,2015-12-08 08:17:26,是,
340,月,透视表字段改时，提示已有相同透视表字段名存在,2015-12-08 08:21:32,是,
341,月,如何创建一个透视表,2015-12-08 08:23:26,是,
342,月,自定义排序（按职位高低进行排序）,2015-12-08 08:28:19,是,
343,月,表头中有合并单元格，排序时报错如何处理,2015-12-08 08:31:20,是,
344,月,如何筛选出带有问号或星号的数据.mp4,2015-12-08 08:33:33,是,
345,月,限定某个区域禁止输入重复值,2015-12-08 08:39:48,是,
346,月,对筛选后的数据进行计算,2015-12-08 08:43:40,是,
347,月,快速删除空行空列的方法,2015-12-08 08:46:57,是,
354,郁金香,数据类型：文本数值转数值（两种方法）,2015-12-08 12:47:30,否,
355,郁金香,数据类型：文本数值转数值（两种方法）,2015-12-08 12:47:52,否,
357,吖頭,Excel中输入身份证号后显示不全，如何解决.mp4,2015-12-08 12:59:52,否,
358,吖頭,透视表中如何对日期进行分组,2015-12-08 13:02:02,否,
359,吖頭,透视表中如何对日期进行分组,2015-12-08 13:02:06,否,
360,吖頭,表格安全性（就不给你看）,2015-12-08 13:02:23,否,
361,吖頭,表格安全性（你一定找不到）,2015-12-08 13:06:23,否,
